listing_id,id,date,reviewer_id,reviewer_name,comments
199568,486392,2011-08-29,66482,Victoria & Rob,"The Garden Apartment is lovely. It is open, airy, clean and comfortable. It was lovely to be right off of the garden and able to sit out on the patio where there is seating, including a table for dining. The little kitchenette was well-equipped. Sarah is an attentive and thoughtful host. I very much enjoyed her conversation and company and look forward to our next stay in the Garden Apartment. I heartily recommend this listing!"
199568,491741,2011-08-31,66482,Victoria & Rob,"We were so pleased with the apartment and our host, Sarah, that we stayed another night. Wonderful host and location. Just a few minutes by car from downtown Salem. Could even bike there easily. We will be back to stay here again, many times, I am sure."
199568,608314,2011-10-08,201283,Jenny," I stayed at Sara's apt.for two weeks while working in Salem. Everything was great. Sara is a very gracious host and the apt is large, clean and opens onto a patio and garden. So much nicer than a hotel! Will definitely be staying again when I work in Salem."
199568,615016,2011-10-10,66482,Victoria & Rob,My aunt and I enjoyed our stay in the lovely garden apartment. Plenty of light even in the autumn weather. Sara provided top-quality granola and greek yogurt and a nice selection of ripe fruit. I heartily recommend this rental to anyone!
199568,644195,2011-10-18,933601,Linda And Jerry,"We truly enjoyed a restful time and environment in Sara's accomodations.  Peaceful is how we keep talking about it.  The view of Sara's gardens was delightful, the decor was clean and minmal, the space open, and we had everything we needed, including her gift of a wonderful breakfast.  We learned so much about her interests just by browsing through her library and it was enjoyable to hear about her travels. And one of the best things about our stay was no check-out time, so we could even take a little nap before our 4 hour drive home. Thank you Sara! "
199568,664590,2011-10-25,1296410,Dean,"The Garden studio is very comforable with a bright southern exposure overlooking teh garden.  In addition to a comfortable bed, the studio offered a kitchen w/refrigerator stocked with eggs, milk, jam, etc. washer/drier, hot plate, microwave, toaster, and dishes. Breakfast was DYI for me due to being on eastern time.  The den with wood burning stove made for a cozy place to read, the bathroom had an interesting map of the mideast on the wall, tiled shower small but functional.  <br/><br/>EVERYTHING was very clean.  There also was a sense of sustainablity in the use of re-useable things.  My host was considerate not to expose me to the cold she was sufferning at the time which was greatly appreciated.<br/><br/>Don't be put off by the neighborhood. It is safe and convenient.  <br/><br/>Overall, a great place to stay and a good experience. <br/> "
199568,743572,2011-11-25,1411582,Greg,"Sara is a great host.  She made the breakfast we requested (on Thanksgiving, no less), kept the fireplace going, stocked the bathroom well and explained everything that could trip us up (like the bedroom heating).  The house is quiet as is the neighborhood.  The beds were comfortable, the living room was cozy (TV and a lot of Sara's books) and the view of the garden and the frolicking birds was a nice way to wake up.  Some pointers for future guests:  the bedroom heater tends to start slowly but ramp up - be careful how much you turn it up.  If you get cold easily, take the bed by the heater, because the heat doesn't move over as much to the garden-side bed.  Also consider bringing your own pillow if you need better neck support - the pillows on the heater-side bed were a bit thin for me.  If you're there during cold periods, don't be freaked to see a few ants walking around - it's pretty typical for such a ground-level unit and Sara told us she's working to exterminate them.  Just make sure to put food away in the mini-fridge or cabinets.  We'd stay there again - good value, good amenities, good location, good service!"
199568,747907,2011-11-27,62065,Janet,"We had such a lovely time at Sara's.  The space was beautiful and the South facing windows gave a lovely warm view to a blustery day.  There was a woodstove that made everything cozy, lots of books, and some nice breakfast treats.  We had only a short visit, and wished we could have stayed another night or two.  This would be a great place for an extended stay, if you have work in Salem.  Very close to downtown.  Also if you are doing a Willamette Valley wine tour, this would be a good home base.  Thanks Sara, we will be back!"
199568,815138,2011-12-30,1478026,Sebastian,Sara you are truly awesome!  Thank you for a lovely stay and I look forward to getting back there real soon.  All the best!  Seb
199568,839274,2012-01-04,1339841,Michael,"Sara was a wonderful host. My wife, daughter and I returned very late to a lit fire and warm house which was so much more than we expected. The list goes on : Cinnamon Rolls, Milk, an assortment of Teas etc. The house was spacious with great accommodations for comfort. Thank you Sara.   "
199568,861160,2012-01-14,479365,Stacy,"Sara's apartment was great! Very cozy, with a fireplace, a well stocked kitchen, lots of information about Salem and walking distance to downtown. We would definitely stay here again!!"
199568,894521,2012-01-31,1478026,Sebastian,"Sara, I love staying at your place.  It feels like home.  Thank you so much for everything... leaving is always difficult!"
199568,940985,2012-02-22,1588278,Kristi,"Sara, our ""house mom"" for our week stay in Salem, was so very kind and considerate. From a lit fire when we arrived late to gluten free bread (she knew I had Celiac), homemade jam, organic fruit bowl, fresh juice, and other tasty selections set out for us, we felt cared for and nurtured all week! The privacy of this Garden Studio Apartment was perfect with its own kitchen (the photo doesn't do it justice), living room lined with books, large bedroom and own bathroom. The view of Sara's garden was magical and a breath of relaxation after long days of training.  I hope we need to return to Salem soon so we can stay here again! "
199568,944648,2012-02-23,66482,Victoria & Rob,"I stayed at Sara's with my sister this time. Spoiled Sis usually would stay at The Grand Hotel, but now that she has experienced staying at Sara's, the Grand is no longer good enough!  We were so comfy reading by the gas fireplace, and the beds were so comfy, and Sara's company was so fine when she accepted our invitation to visit over a glass of wine, that we decided to stay an extra night so we could experience all that a second time. Really, this is a special bnb and a special hostess. You could not do better than to stay at Sara's. "
199568,989657,2012-03-11,1405658,Karen,"Very nice, on very short notice. I had a lovely time. Comfortable, sparkling clean, spacious, and nice host."
199568,1118544,2012-04-12,2016982,Gabriele,"This is the best place to stay in Salem. The Garden Studio is warm and inviting, and it was much bigger than it appears in the pictures. It felt like home, very cozy and very inviting. Sara is such a nice and warm person, providing gluten-free food and making great restaurant suggestions. I stayed in Salem for a conference and wished I would have had more time enjoying the studio and chatting with Sara. I also loved the view and quiet of the garden. I will be back for a vacation some day. Like I said, the best place in Salem is the Garden Studio."
199568,1144237,2012-04-17,1381233,Pamela,"Such a wonderful experience staying here. Everything was a delight-- the lovely garden, beautiful rooms, peaceful location and most of all, Sara herself. We're looking forward to our next visit to West Salem."
199568,1148156,2012-04-18,1421154,Andrew,"This basement apartment is a fantastic space.  It is very light, has all of the amenities one would ever need, and even has access to the comfortable back patio.  The decorations, welcoming feeling, and cleanliness were all top notch.<br/><br/>The spot is a bit of a trek to downtown but on foot, but totally doable.  If you are walking downtown I suggest taking a bit extra time to go on the pedestrian bridge versus the more direct road bridge, a very cool trial. I wish I had my bike to explore more!<br/><br/>Sara is easy to deal with, this apartment is fantastic, and it is a very good value.  Would definitely stay here again.  "
199568,1154644,2012-04-20,1731762,Patricia,We had an excellent stay. Enjoyed drinking coffee out on the patio in the morning and sitting in front of the fire at night.
199568,1222675,2012-05-03,2105822,Robert,"great accommodation, very roomy and a good location. loved the fire that Sara built for us!"
199568,1266894,2012-05-12,2120316,Carolyn,"Sara was great--so thoughtful and pleasant.<br/>The apartment is very spacious, comfortable, and quiet. <br/>The garden is beautiful too--it is definitely a garden studio apartment!"
199568,1283124,2012-05-15,1708673,Deborah,"This was a perfect introduction to airbnb.  Sara is lovely and welcoming and the garden apartment far exceeded our expectations. It is decorated well, bed was very comfortable and it was fabulous having a small kitchen  and access to the garden patio.  I never want to  stay in a hotel again. We will definitely recommend Sara and her apartment to anyone we know visiting Salem."
199568,1296661,2012-05-17,836987,Jonathan,Sara was an amazing host. My visit to Salem was business related and very busy. Sara was very helpful with working around my crazy schedule to get me the keys. The place was very nice and felt like a home. She has a beautiful garden and patio area that is great for sitting and enjoying a cup of coffee in the morning. I hope next time I am in Salem I can bring my family for a visit of leisure.  
199568,1363276,2012-05-28,2172421,Andrea,Loved it just as much the second time.  Especially the laundry!
199568,1406778,2012-06-03,2172421,Andrea,"Sara is a great host.  The garden studio is a large apartment with everything you need.  The little kitchen was so convenient, and Sara had even stocked the essentials.  We started the fire on the last night of our stay and it was very toasty.  The backyard garden is very private, and so beautiful!  We extended our stay and Sara was very accomodating.  Would definately stay again."
199568,1494232,2012-06-16,2413209,Bill,"I Highly recommend staying with Sara.  My wife and I were riding a tandem bike from Eugene to Portland.   Sara helped us by finding local bike maps even before we arrived.  For breakfast she prepare non-gluten ingredients to meet our special needs.  The space is bright and clean and includes a large kitchen with a washer dryer!.  It even has a wood burning stove for extra warmth, and a beautiful garden.  You may not want to leave."
199568,1502654,2012-06-18,1795798,Angela,"This studio is great! It's very peaceful and serene and Sara keeps it clean and well stocked. It's pretty much the perfect home away from home. Sara is an excellent host, very easy to talk to and provides great info on the area - she even filled me in on the local vernacular :)<br/><br/>I will definitely stay again next time I'm in Salem."
199568,1572490,2012-06-26,2425067,Faith,"Sara is so warm and welcoming. It was my first time on airbnb so I was worried it might be a bit awkward, but it wasn't at all. I highly recommend Sara as a host."
199568,1786646,2012-07-24,2033371,Mary,"My mother and I really enjoyed our stay at Sara's garden studio apartment.  It was clean, comfortable and was our home away from home for 11 days.  We would definitely stay here again when visiting the area.  Thank you Sara!"
199568,1811130,2012-07-27,791585,Shari,"We stayed two nights in this lovely place.  The apartment is private, roomy and tidy with lots of good books and resources about the area.  The garden is spectacular.  Sara was a great host--we really enjoyed talking with her and wish we would have had more time to talk.  She was extremely helpful and provided coffee, berries, and granola for breakfast--unexpected but very much appreciated.  Highly recommend staying here."
